Date,Opponent,IP,H,R,ER,HR,BB,K,GB,FB,P,TBF,ERA,Result,W,L,IBB,WP,HBP,BK
9/30/2022,Rangers,6,4,1,1,0,1,9,2,11,93,23,3.77,W,1,0,0,0,0,0
9/24/2022,Twins,4,8,5,4,0,0,2,5,14,71,21,3.88,L,0,1,0,0,0,0
9/18/2022,Mariners,6,4,1,1,0,2,3,3,16,103,25,3.71,W,1,0,0,0,0,0
9/12/2022,Guardians,5,6,4,4,0,2,3,11,7,98,24,3.82,ND,0,0,0,0,0,0
9/2/2022,Astros,4.1,7,4,4,0,2,6,5,9,80,22,3.67,L,0,1,0,0,0,0
8/26/2022,Blue Jays,5.1,4,0,0,0,3,5,7,8,105,23,3.47,W,1,0,0,0,0,0
8/20/2022,Tigers,4.1,10,4,4,0,2,3,8,12,81,25,3.66,L,0,1,0,0,0,0
8/13/2022,Twins,5,5,2,2,1,3,9,3,6,96,22,3.45,ND,0,0,0,0,0,0
8/6/2022,Mariners,7,6,1,1,1,1,7,6,13,106,27,3.44,W,1,0,0,0,0,0
7/31/2022,Rangers,7,3,2,1,0,3,12,2,8,105,25,3.62,ND,0,0,0,0,0,0
7/24/2022,Braves,5,3,0,0,0,2,6,6,6,90,20,3.84,W,1,0,0,0,0,0
7/14/2022,Astros,6,5,2,2,0,3,6,7,7,95,24,4.11,ND,0,0,0,0,0,0
7/8/2022,Orioles,6,2,0,0,0,1,7,7,6,91,21,4.22,ND,0,0,0,0,0,0
6/21/2022,Royals,5,5,5,5,2,2,6,3,10,95,22,4.66,ND,0,0,0,0,0,0
6/15/2022,Dodgers,3.2,4,4,4,2,3,6,2,7,83,18,4.25,L,0,1,0,0,0,0
6/8/2022,Red Sox,4.1,3,0,0,0,2,1,8,7,85,19,3.83,ND,0,0,0,0,0,0
6/2/2022,Yankees,4.1,5,0,0,0,3,4,3,10,86,20,4.2,ND,0,0,0,0,0,0
5/25/2022,Rangers,6,5,5,5,2,1,3,6,14,73,24,4.65,L,0,1,0,0,0,0
5/17/2022,Rangers,3.2,3,3,3,2,2,4,1,8,61,15,4.15,ND,0,0,0,0,0,0
5/10/2022,Rays,9,0,0,0,0,1,2,11,14,108,28,3.77,W,1,0,0,0,0,0
5/4/2022,Red Sox,4.2,4,3,3,0,2,2,6,9,78,20,5.32,ND,0,0,0,0,0,0
4/28/2022,Guardians,5,2,1,1,1,1,4,4,9,88,18,5.19,W,1,0,0,0,0,0
4/22/2022,Orioles,5,3,2,2,0,1,4,7,7,70,19,6.57,L,0,1,0,0,0,0
4/15/2022,Rangers,3.1,6,5,5,0,1,5,6,5,65,18,8.59,ND,0,0,0,0,0,0
4/8/2022,Astros,4,3,2,2,2,2,3,4,7,75,16,4.5,ND,0,0,0,0,0,0
